1,SISTEMAS 1,activo,Tecnologicos
2,SISTEMAS 2,activo,Tecnologicos
3,SISTEMAS 3,activo,Tecnologicos
4,AUTOCAD,activo,Tecnologicos
5,MANTENIMIENTO,activo,cualquiera
6,MECANIZADO,activo,Mecánica
7,AUDITORIO,activo,Varios
8,GIMNASIO,activo,CulturaFisica
9,EBANISTERÍA,activo,Trabajo en maderas
10,CONFECCION,activo,cualquiera
11,MOTOS,activo,Mecánica de motos
12,SENNOVA,activo,Sólo aplicación sennova
13,ELECTRICIDAD 1,activo,Tec. Electricidad
14,ELECTRICIDAD 2,activo,Tec. Electricidad
15,ELECTRICIDAD 3,activo,cualquiera
16,ELECTRICIDAD 4,activo,eléctricos
17,AMBIENTE DE ENERGIA RENOVABLE,activo,eléctricos
18,AUTOMOTRIZ,activo,MECANICA
19,DIESEL,activo,MECANICA
20,SALUD OCUPACIONAL,activo,Seguridad y Salud en el trabajo
21,METALOGRAFIA,activo,Metalografía
22,SOLDADURA,activo,SOLDADURA
23,LABORATORIO METROLOGIA,activo,Metereologia
24,DIBUJO,activo,Dibujo
25,CERTIFICACION DE GAS,activo,cert. gas
26,GAS,activo,gas
27,ENFERMERIA,activo,salud
28,MUSICA,activo,Musica
29,REFRIGERACION,activo,Equipos de refrigeración
30,LABORATORIO SUELOS,activo,Estudio topografía
31,AUTOMOTRIZ MEZZANINE,activo,VARIOS
32,EMAO CHINCHINA,activo,VARIOS
33,INPEC,activo,VARIOS
34,PATIO DE REDES,activo,VARIOS
35,CAMPAMENTO CHINCHINA,activo,VARIOS
36,IE FUNDADORES - RIOSUCIO,activo,VARIOS
37,IE MARMATO,activo,VARIOS
38,IE RIOSUCIO,activo,VARIOS
39,IE FRANCISCO JOSE DE CALDAS - SUPIA,activo,VARIOS
40,IE AURELIANO FLOREZ - ANSERMA,activo,VARIOS
41,IE TECNOLÓGICO FRANCISCO JOSE DE CALDAS - MANIZALES,activo,VARIOS
42,IE FILADELFIA,activo,VARIOS
43,IE LEONARDO DAVINCI - MANIZALES,activo,VARIOS
44,IE MARINO GOMEZ ESTRADA - ANSERMA,activo,VARIOS
45,IE NEIRA,activo,VARIOS
46,IE INEM - MANIZALES,activo,VARIOS
47,IE SAN VICTOR - SUPIA,activo,VARIOS
48,IE DE OCCIDENTE - ANSERMA,activo,VARIOS
49,BILBIOTECA ANSERMA,activo,VARIOS
50,IE SAN GERARDO MARIA MAYELA - NORCASIA,activo,VARIOS
51,IE ALFONSO LOPEZ PUMAREJO - DORADA,activo,VARIOS
52,IE JUAN XIII - MARQUETALIA,activo,VARIOS
53,IE SAN AGUSTIN - SAMANÁ,activo,VARIOS
54,IE BERLIN - SAMANÁ,activo,VARIOS
55,IE SAN PABLO - VICTORIA,activo,VARIOS
56,IE NAZARIO RESTREPO - VITERBO,activo,VARIOS
57,IE BONAFONT - RIOSUCIO,activo,VARIOS
58,IE SUPIA,activo,VARIOS
59,IE GERARDO ARIAS - VILLAMARIA,activo,VARIOS
60,IE LOS FUNDADORES - RIOSUCIO,activo,VARIOS
61,FUNDACIÓN OBRAS SOCIALES BETANIA,activo,CONFECCIÓN INDUSTRIAL
62,IE SANTA TERESITA - SAN JOSÉ,activo,TE EN EJECUCIÓN MUSICAL
63,IE SANTA TERESITA,activo,TE EN EJECUCION
64,IE AURELIANO FLOREZ CARDONA SOLDADURA,activo,TE EN SOLDADURA PLATINA
65,SALA DE JUNTAS,activo,VARIOS